NOTE: Only the first 10000 rows were processed for anomaly detection due to performance limits.
Anomaly detected — Facility: ABERDEEN ENERGY LLC | Year: 2022 | CO2: 191850.2
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2019 | CO2: 211799.8
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2019 | CO2: 702019.5
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2019 | CO2: 688226.3
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2019 | CO2: 327558.9
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2019 | CO2: 433974.8
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2019 | CO2: 215850.0
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2018 | CO2: 269864.7
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2018 | CO2: 818344.7
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2018 | CO2: 390952.8
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2018 | CO2: 215109.5
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2018 | CO2: 698605.6
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2018 | CO2: 728779.7
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2018 | CO2: 418845.0
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2017 | CO2: 235632.9
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2017 | CO2: 766541.3
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2017 | CO2: 374739.4
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2017 | CO2: 208862.5
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2017 | CO2: 666819.3
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2017 | CO2: 638989.4
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2017 | CO2: 317114.3
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2017 | CO2: 250043.9
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2017 | CO2: 211971.4
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2017 | CO2: 214687.5
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2017 | CO2: 325697.3
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2016 | CO2: 746721.1
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2016 | CO2: 2806495.6
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2016 | CO2: 419896.0
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2016 | CO2: 676148.2
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2016 | CO2: 586106.8
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2015 | CO2: 728158.3
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2015 | CO2: 3332911.2
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2015 | CO2: 453976.5
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2015 | CO2: 743855.6
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2015 | CO2: 615439.0
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2014 | CO2: 731587.8
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2014 | CO2: 2870224.3
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2014 | CO2: 406321.3
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2014 | CO2: 674830.2
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2014 | CO2: 561899.1
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2013 | CO2: 648564.9
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2013 | CO2: 2641533.0
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2013 | CO2: 438716.7
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2013 | CO2: 460033.2
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2013 | CO2: 505062.1
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2012 | CO2: 269703.5
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2012 | CO2: 598904.4
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2012 | CO2: 2737174.3
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2012 | CO2: 490922.5
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2012 | CO2: 606819.8
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2012 | CO2: 657682.9
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2011 | CO2: 433660.7
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2011 | CO2: 572766.1
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2011 | CO2: 3031785.0
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2011 | CO2: 466261.3
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2011 | CO2: 821873.0
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2011 | CO2: 757287.0
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2019 | CO2: 538626.0
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2019 | CO2: 682971.8
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2019 | CO2: 640197.0
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2019 | CO2: 424337.8
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2019 | CO2: 300646.4
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2019 | CO2: 196966.5
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2019 | CO2: 370986.0
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2018 | CO2: 559318.1
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2018 | CO2: 636405.3
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2018 | CO2: 656210.4
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2018 | CO2: 384049.7
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2018 | CO2: 342713.4
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2018 | CO2: 579647.2
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2017 | CO2: 548703.4
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2017 | CO2: 688754.1
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2017 | CO2: 661748.5
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2017 | CO2: 208109.3
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2017 | CO2: 214634.5
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2017 | CO2: 394323.8
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2017 | CO2: 212466.0
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2017 | CO2: 596770.1
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2016 | CO2: 537938.2
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2016 | CO2: 713487.2
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2016 | CO2: 672670.4
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2016 | CO2: 209611.6
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2016 | CO2: 200509.1
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2016 | CO2: 367752.3
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2016 | CO2: 480116.6
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2016 | CO2: 325055.3
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2016 | CO2: 249232.6
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2015 | CO2: 507073.8
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2015 | CO2: 633380.8
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2015 | CO2: 707701.8
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2015 | CO2: 223502.8
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2015 | CO2: 379052.0
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2015 | CO2: 555928.4
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2015 | CO2: 489966.4
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2014 | CO2: 499989.7
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2014 | CO2: 665082.3
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2014 | CO2: 677677.6
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2014 | CO2: 245912.1
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2014 | CO2: 206960.0
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2014 | CO2: 432136.0
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2014 | CO2: 370913.7
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2014 | CO2: 608891.0
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2013 | CO2: 479409.0
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2013 | CO2: 705171.6
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2013 | CO2: 493468.7
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2013 | CO2: 206472.5
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2013 | CO2: 305370.8
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2013 | CO2: 413691.8
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2013 | CO2: 330686.9
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2013 | CO2: 466045.9
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2012 | CO2: 454007.0
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2012 | CO2: 693826.3
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2012 | CO2: 589375.1
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2012 | CO2: 226111.9
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2012 | CO2: 350826.9
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2012 | CO2: 446749.0
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2012 | CO2: 604838.7
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2011 | CO2: 422526.3
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2011 | CO2: 612098.0
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2011 | CO2: 661266.6
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2011 | CO2: 211091.9
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2011 | CO2: 293549.9
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2011 | CO2: 322991.4
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2011 | CO2: 210400.0
Anomaly detected — Facility: ArcelorMittal Cleveland LLC | Year: 2011 | CO2: 501673.8
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2019 | CO2: 304999.1
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2019 | CO2: 303707.0
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2019 | CO2: 693320.9
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2019 | CO2: 195452.5
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2019 | CO2: 463061.7
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2019 | CO2: 1054454.3
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2018 | CO2: 300112.3
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2018 | CO2: 371612.2
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2018 | CO2: 453769.8
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2018 | CO2: 358724.1
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2018 | CO2: 389470.2
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2018 | CO2: 781098.1
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2017 | CO2: 314180.8
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2017 | CO2: 483803.1
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2017 | CO2: 599814.2
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2017 | CO2: 312741.2
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2017 | CO2: 553998.1
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2017 | CO2: 907735.6
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2016 | CO2: 309573.4
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2016 | CO2: 677361.3
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2016 | CO2: 725273.3
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2016 | CO2: 1499200.7
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2015 | CO2: 456047.8
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2015 | CO2: 586593.3
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2015 | CO2: 365442.8
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2015 | CO2: 863183.6
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2014 | CO2: 498524.7
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2014 | CO2: 467237.6
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2014 | CO2: 792820.1
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2014 | CO2: 666331.8
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2014 | CO2: 1347705.6
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2013 | CO2: 484927.0
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2013 | CO2: 415348.0
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2013 | CO2: 854161.0
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2013 | CO2: 610880.0
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2013 | CO2: 1268621.0
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2012 | CO2: 514266.0
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2012 | CO2: 527110.5
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2012 | CO2: 712548.0
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2012 | CO2: 493460.0
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2012 | CO2: 1234369.0
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2011 | CO2: 486967.0
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2011 | CO2: 321883.0
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2011 | CO2: 593738.4
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2011 | CO2: 511857.0
Anomaly detected — Facility: ArcelorMittal Indiana Harbor LLC | Year: 2011 | CO2: 1024528.0
Anomaly detected — Facility: Archer Daniels Midland Co. | Year: 2021 | CO2: 392549.5
Anomaly detected — Facility: Archer Daniels Midland Co. | Year: 2020 | CO2: 409836.0
Anomaly detected — Facility: Archer Daniels Midland Co. | Year: 2019 | CO2: 361885.8
Anomaly detected — Facility: Archer Daniels Midland Co. | Year: 2018 | CO2: 355578.6
Anomaly detected — Facility: Archer Daniels Midland Co. | Year: 2017 | CO2: 352835.3
Anomaly detected — Facility: Archer Daniels Midland Co. | Year: 2016 | CO2: 358603.2
Anomaly detected — Facility: Archer Daniels Midland Co. | Year: 2015 | CO2: 353096.3
Anomaly detected — Facility: Archer Daniels Midland Co. | Year: 2014 | CO2: 382240.8
Anomaly detected — Facility: Archer Daniels Midland Co. | Year: 2013 | CO2: 410031.0
Anomaly detected — Facility: Archer Daniels Midland Co. | Year: 2012 | CO2: 445253.8
Anomaly detected — Facility: Archer Daniels Midland Co. | Year: 2011 | CO2: 328940.6
Anomaly detected — Facility: Archer Daniels Midland Co. - Peoria | Year: 2019 | CO2: 504572.3
Anomaly detected — Facility: Archer Daniels Midland Co. - Peoria | Year: 2018 | CO2: 495815.9
Anomaly detected — Facility: Archer Daniels Midland Co. - Peoria | Year: 2017 | CO2: 567441.1
Anomaly detected — Facility: Archer Daniels Midland Co. - Peoria | Year: 2016 | CO2: 607614.3
Anomaly detected — Facility: Archer Daniels Midland Co. - Peoria | Year: 2015 | CO2: 653582.0
Anomaly detected — Facility: Archer Daniels Midland Co. - Peoria | Year: 2014 | CO2: 702776.1
Anomaly detected — Facility: Archer Daniels Midland Co. - Peoria | Year: 2013 | CO2: 692508.0
Anomaly detected — Facility: Archer Daniels Midland Co. - Peoria | Year: 2012 | CO2: 624988.0
Anomaly detected — Facility: Archer Daniels Midland Co. - Peoria | Year: 2011 | CO2: 648565.0
Anomaly detected — Facility: ARCONIC INC - TENNESSEE OPERATIONS | Year: 2017 | CO2: 216748.9
Anomaly detected — Facility: ARCONIC INC - TENNESSEE OPERATIONS | Year: 2016 | CO2: 226342.7
Anomaly detected — Facility: ARCONIC INC - TENNESSEE OPERATIONS | Year: 2015 | CO2: 208357.0
Anomaly detected — Facility: ARCONIC INC - TENNESSEE OPERATIONS | Year: 2013 | CO2: 196881.0
Anomaly detected — Facility: ARCONIC INC - TENNESSEE OPERATIONS | Year: 2012 | CO2: 193472.0
Anomaly detected — Facility: ARCONIC INC - TENNESSEE OPERATIONS | Year: 2011 | CO2: 191408.0
Anomaly detected — Facility: ARCONIC TENNESSEE OPERATIONS | Year: 2021 | CO2: 203575.7
Anomaly detected — Facility: ARKANSAS LIME COMPANY | Year: 2019 | CO2: 236032.0
Anomaly detected — Facility: ARKANSAS LIME COMPANY | Year: 2018 | CO2: 213932.1
Anomaly detected — Facility: ARKANSAS LIME COMPANY | Year: 2014 | CO2: 209329.3
Anomaly detected — Facility: ARKANSAS LIME COMPANY | Year: 2011 | CO2: 196567.5
